player_id,player_display_name,player_name,player_full_name,batting_style,bowling_style,birthdate,country_id,list_team_ids
2697,,Iqbal Siddiqui,Iqbal Rashid Siddiqui,Right-hand bat,Right arm Pace,26/12/74,2.0,"592,139,189"
2698,P Prasanth,Padmanabhan Prasanth,Padmanabhan Prasanth,Left-hand bat,Left arm Orthodox,22/05/85,2.0,"299,202"
2699,,Ramaswamy Prasanna,Ramaswamy Prasanna,Left-hand bat,Right arm Pace,07/04/82,2.0,"522,577,549"
2700,R Shukla,Rahul Shukla,Rahul Shukla,Right-hand bat,Right arm Pace,28/08/90,2.0,"161,433,571,165"
2701,LR Shukla,Laxmi Shukla,Laxmi Ratan Shukla,Right-hand bat,Right arm Pace,06/05/81,2.0,"592,454,161,505,202"
2702,Shubman Gill,Shubman Gill,Shubman Gill,Right-hand bat,Right arm Off spin,08/09/99,2.0,"592,403,505,47,392"
2703,,Mannava Prasad,Mannava Sri Kanth Prasad,Right-hand bat,,24/04/75,2.0,"592,204"
2704,,Garikina Prasad,Garikina Venkata Satya Prasad,Right-hand bat,Right arm Off spin,02/12/88,2.0,"204,413,403"
2705,,Venkatesh Prasad,Bapu Krishnarao Venkatesh Prasad,Right-hand bat,Right arm Pace,05/08/69,2.0,"592,430"
2706,,Manyala Pranith,Manyala Pranith,Left-hand bat,Right arm Off spin,08/09/93,2.0,"204,413"
2707,,Pradipta Pramanik,Pradipta Jagadish Pramanik,Right-hand bat,Left arm Orthodox,08/10/98,2.0,"156,297,403"
2708,,Swaroop Shrivastava,Swaroop Rajesh Shrivastava,Right-hand bat,Right arm Pace,08/12/81,2.0,"415,315"
2709,,Aditya Shrivastava,Aditya Rajesh Shrivastava,Right-hand bat,Right arm wrist spin,18/09/93,2.0,"210,538,312"
2710,DR Shorey,Dhruv Shorey,Dhruv Ranjan Shorey,Right-hand bat,Right arm Off spin,05/06/92,2.0,"470,394"
2711,Shoaib Ahmed,Shoaib Ahmed,Syed Mohammad Shoaib Ahmed,Right-hand bat,Right arm Pace,19/11/87,2.0,"350,139"
2712,,Shiva Singh,Shiva Singh,Right-hand bat,Left arm Orthodox,16/10/99,2.0,"403,390,239"
2713,,Prasad Pradhan,Prasad Ramakant Pradhan,Right-hand bat,,14/06/64,2.0,"257,189"
2714,,AG Pradeep,Andimani Ganga Pradeep,Right-hand bat,Right arm Off spin,13/01/87,2.0,"413,403"
2715,Shivam Sharma,Shivam Sharma,Shivam Sharma,Right-hand bat,Right arm Off spin,09/09/93,2.0,"559,147"
2716,Shivam Mavi,Shivam Mavi,Shivam Pankaj Mavi,Right-hand bat,Right arm Pace,26/11/98,2.0,"403,505,239"
2717,,Shivam Chauhan,Shivam Chauhan,Right-hand bat,Right arm Pace,14/10/97,2.0,"501,25"
2718,,Sadu Shinde,Sadashiv Ganpatrao Shinde,Right-hand bat,Right arm wrist spin,18/08/23,2.0,"592,471,189,427"
2719,,Vijesh Prabhudessai,Vijesh Mahesh Prabhudessai,Right-hand bat,Right arm Pace,20/02/97,2.0,"257,451,244"
2720,,Achit Shigwan,Achit Anant Shigwan,Right-hand bat,Right arm Pace,06/10/95,2.0,"257,244"
2721,,Nishit Shetty,Nishit Sudhakar Shetty,Left-hand bat,Left arm Orthodox,28/05/72,2.0,"427,549"
2722,RR Powar,Ramesh Powar,Ramesh Rajaram Powar,Right-hand bat,Right arm Off spin,20/05/78,2.0,"592,147,299,427"
2723,,Kiran Powar,Kiran Rajaram Powar,Left-hand bat,Right arm Off spin,06/04/76,2.0,"553,471,257,427"
2724,,Ishan Porel,Ishan Chandranath Porel,Right-hand bat,Right arm Pace,05/09/98,2.0,"454,156,297"
2725,,Poonam Poonia,Poonam Subhash Poonia,Right-hand bat,Right arm Pace,12/12/94,2.0,"187,40"
2726,,Shyam Ponnappa,Kekada Shyam Ponnappa,Right-hand bat,Right arm Pace,27/02/80,2.0,"557,430"
2727,,Rajubhau Shelke,Rajubhau R Shelke,,Left arm Orthodox,01/01/28,2.0,"189,315"
2728,,Pankaj Shaw,Pankaj Pulin Shaw,Right-hand bat,Right arm Off spin,12/02/88,2.0,"454,297"
2729,PP Shaw,Prithvi Shaw,Prithvi Pankaj Shaw,Right-hand bat,Right arm Off spin,09/11/99,2.0,"592,161,433,403,77"
2730,,Shelley Shaurya,Shelley Sanjay Kumar Shaurya,Right-hand bat,Right arm Pace,17/09/93,2.0,"394,531"
2731,,Jitender Phogat,Jitender DharamSingh Phogat,Right-hand bat,Right arm Pace,16/11/94,2.0,"501,25"
2732,,Ritupan Phatowali,Ritupan Bichitra Phatowali,Right-hand bat,Right arm Off spin,10/03/90,2.0,"553,123"
2733,,Shashank Singh,Shashank Singh,Right-hand bat,Right arm Off spin,21/11/91,2.0,"161,427,165"
2734,,Sandesh Pawaskar,Sandesh Prasad Pawaskar,Right-hand bat,Right arm wrist spin,28/09/83,2.0,"257,451"
2735,,Rajesh Pawar,Rajesh Vithal Pawar,Left-hand bat,Left arm Orthodox,06/09/79,2.0,"471,161,427,571"
2736,,Umang Sharma,Umang Anil Sharma,Right-hand bat,Right arm Off spin,20/10/89,2.0,"531,239"
2737,,Shubham Sharma,Shubham Shyamsunder Sharma,Right-hand bat,Right arm Off spin,24/12/93,2.0,"538,312"
2738,,Shashaank Sharma,Shashaank Narantak Sharma,Left-hand bat,,07/09/92,2.0,"127,40"
2739,,Shubham Sharma,Shubham Kamal Sharma,Left-hand bat,Left arm Orthodox,26/03/97,2.0,"460,187"
2740,,Sanjeev Sharma,Sanjeev Kumar Sharma,Right-hand bat,Right arm Pace,25/08/65,2.0,"592,394,415,460"
2741,,Tangirala Pawan Kumar,Tangirala Pawan Kumar,Right-hand bat,Right arm Pace,19/09/70,2.0,"204,139"
2742,,Sagar Sharma,Sagar Harikrishna Sharma,Right-hand bat,Right arm Off spin,30/12/97,2.0,"538,312,40"
2743,,Romario Sharma,Romariomomin Runu Sharma,Left-hand bat,Right arm Off spin,19/12/94,2.0,"553,512,123"
2744,AG Paunikar,Amit Paunikar,Amit Gajanan Paunikar,Right-hand bat,,18/04/88,2.0,"415,165,202,315"
2745,RG Sharma,Rohit Sharma,Rohit Gurunath Sharma,Right-hand bat,Right arm Off spin,30/04/87,2.0,"592,350,433,403,427,571,77"
2746,,Rahul Sharma,Rahul Sharma,Right-hand bat,Right arm wrist spin,30/11/86,2.0,"592,470,350,161,433,69,93"
2747,MM Sharma,Mohit Sharma,Mohit Mahipal Sharma,Right-hand bat,Right arm Pace,18/09/88,2.0,"592,470,501,147"
2748,,Manish Sharma,Manish Sharma,Right-hand bat,Left arm Orthodox,30/06/81,2.0,"403,93"
2749,KV Sharma,Karn Sharma,Karn Vinod Sharma,Left-hand bat,Right arm wrist spin,23/10/87,2.0,"592,470,571,415,143,202"
2750,,Kuldeep Sharma,Kuldeep Ashok Sharma,Left-hand bat,Left arm Pace,26/09/86,2.0,"403,317"
2751,,Jitesh Sharma,Jitesh Mohan Sharma,Right-hand bat,,22/10/93,2.0,"571,315"
2752,,Sairaj Patil,Sairaj Bipin Patil,Right-hand bat,Right arm Pace,31/10/96,2.0,"427,77"
2753,I Sharma,Ishant Sharma,Ishant Sharma,Right-hand bat,Right arm Pace,02/09/88,2.0,"592,350,394,161,147,505,370,202"
2754,,Dhiraj Sharma,Dhiraj Kamalkishore Sharma,Right-hand bat,Right arm Off spin,06/01/81,2.0,"415,315"
2755,,Deepti Sharma,Deepti Bhagwan Sharma,Left-hand bat,Right arm Off spin,24/08/97,2.0,"75,467"
2756,DT Patil,Devraj Patil,Devraj Thyagaraj Patil,Right-hand bat,,06/12/84,2.0,"430,143"
2757,RM Patidar,Rajat Patidar,Rajat Manohar Patidar,Right-hand bat,Right arm Off spin,01/06/93,2.0,"210,312"
2758,,Maharaja of Patiala,Bhupendrasingh Rajindersingh (HH Maharaja of Patiala),Right-hand bat,,1891-10-12,2.0,"592,155"
2759,YK Pathan,Yusuf Pathan,Yusuf Khan Pathan,Right-hand bat,Right arm Off spin,17/11/82,2.0,"592,471,433,505,165,202"
2760,IK Pathan,Irfan Pathan,Irfan Khan Pathan,Left-hand bat,Left arm Pace,27/10/84,2.0,"592,471,470,161,147,295,370,202"
2761,AUK Pathan,Asad Pathan,Asad Ullah Khan Pathan,Right-hand bat,Right arm Pace,17/06/84,2.0,"415,143"
2762,,Ahmadnoor Pathan,Ahmadnoor Ahmadnafis Pathan,Left-hand bat,Right arm Pace,28/08/96,2.0,"471,85"
2763,,Chetan Sharma,Chetan Sharma,Right-hand bat,Right arm Pace,03/01/66,2.0,"592,454,501"
2764,,Atul Sharma,Atul Sanjeev Sharma,Right-hand bat,Right arm Pace,01/05/89,2.0,"165,239"
2765,,Ashutosh Sharma,Ashutosh Rambabu Sharma,Right-hand bat,,15/09/98,2.0,"210,538,312"
2766,,Amit Sharma,Amit Sharma,Right-hand bat,Right arm Off spin,20/11/74,2.0,"127,93"
2767,,Ajay Sharma,Ajay Kumar Sharma,Right-hand bat,Left arm Orthodox,03/04/64,2.0,"592,394,127"
2768,,Abhay Sharma,Abhay Sharma,Right-hand bat,,30/04/69,2.0,"394,415"
2769,,Chirag Pathak,Chirag Rajeshbhai Pathak,Left-hand bat,,02/02/87,2.0,"505,317"
2770,,Zafir Patel,Zafir Rashid Patel,Right-hand bat,Right arm Pace,14/09/92,2.0,"161,353"
2771,,Urvil Patel,Urvil Mukesh Patel,Right-hand bat,,17/10/98,2.0,"471,85"
2772,,Udit Patel,Udit Brijesh Patel,Right-hand bat,Right arm Off spin,31/08/84,2.0,"430,143"
2773,,Arun Sharma,Arun Sharma,Left-hand bat,Left arm Orthodox,17/09/73,2.0,"384,40"
2774,,Srinivas Sharath,Srinivas Sharath,Right-hand bat,,01/03/96,2.0,"557,430"
2775,,HS Sharath,Hosagivappa Shivalingaiah Sharath,Right-hand bat,Right arm Pace,06/02/93,2.0,"161,430,522"
2776,,BR Sharath,Belur Ravi Sharath,Right-hand bat,,28/09/96,2.0,"217,430"
2777,,Snell Patel,Snell Sukhdev Patel,Right-hand bat,,15/10/93,2.0,"317,284"
2778,,Smit Patel,Smit Kamleshbhai Patel,Right-hand bat,,16/05/93,2.0,"552,403,549"
2779,,Sandip Patel,Sandip Gunvantrai Patel,Right-hand bat,Left arm Orthodox,20/10/80,2.0,"317,284"
2780,,Rashid Patel,Rashid Ghulam Mohammed Patel,Left-hand bat,Left arm Pace,01/06/64,2.0,"592,471"
2781,V Shankar,Vijay Shankar,Vijay Shankar,Right-hand bat,Right arm Pace,26/01/91,2.0,"592,470,161,433,202"
2782,,Rakesh Patel,Rakesh Bhanuprasad Patel,Right-hand bat,Right arm Pace,23/10/78,2.0,"471,552"
2783,PA Patel,Parthiv Patel,Parthiv Ajay Patel,Left-hand bat,,09/03/85,2.0,"592,470,350,552,299,571,143,202"
2784,Niraj Patel,Niraj Patel,Niraj Kanubhai Patel,Left-hand bat,,26/03/81,2.0,"552,165"
2785,,Shakti Singh,Shakti Singh,Right-hand bat,Right arm Pace,19/05/68,2.0,"394,127"
2786,,Munaf Patel,Munaf Musa Patel,Right-hand bat,Right arm Pace,12/07/83,2.0,"592,252,471,552,531,189,427,571,165"
2787,,Mitesh Patel,Mitesh Girishbhai Patel,Right-hand bat,,15/05/97,2.0,"471,85"
2788,SS Shaikh,Shoaib Shaikh,Shoaib Shabbir Shaikh,Right-hand bat,Right arm Pace,18/01/87,2.0,"505,427,77"
2789,,Sufiyan Shaikh,Sufiyan Mehboob Shaikh,Right-hand bat,,25/11/90,2.0,"427,77"
2790,HV Patel,Harshal Patel,Harshal Vikram Patel,Right-hand bat,Right arm Pace,23/11/90,2.0,"161,552,501,403,143"
2791,,Patel,Huzefa Mohammed Patel,Right-hand bat,Right arm Off spin,01/12/81,2.0,"577,245"
2792,,Faisal Shaikh,Faisal Moosa Mamlekar Shaikh,Right-hand bat,Right arm Off spin,02/12/77,2.0,"257,427"
2793,,Abrar Shaikh,Abrar Kalim Shaikh,Right-hand bat,,14/08/93,2.0,"317,284"
2794,M Shahrukh Khan,Shahrukh Khan,Masood Shahrukh Khan,Right-hand bat,Right arm Off spin,27/05/95,2.0,"577,245"
2795,,Vignesh Shahane,Vignesh Ashok Shahane,Right-hand bat,Right arm Pace,12/12/69,2.0,"427,460"
2796,PP Ojha,Pragyan Ojha,Pragyan Prayash Ojha,Left-hand bat,Left arm Orthodox,05/09/86,2.0,"592,263,350,139,433,403,571,522,163"
2797,NV Ojha,Naman Ojha,Naman Vinaykumar Ojha,Right-hand bat,,20/07/83,2.0,"592,161,433,210,165,202"
2798,,Ruthvik Naik,Ruthvik Naik,Right-hand bat,Right arm Pace,16/05/01,2.0,"257,451,244"
2799,,Dhruv Patel,Dhruv Bharghav Patel,Right-hand bat,Right arm Pace,12/09/97,2.0,"471,85"
2800,,Bhargav Patel,Bhargav Bhikubhai Patel,Right-hand bat,,23/04/92,2.0,"471,85"
2801,AR Patel,Axar Patel,Axar Rajeshbhai Patel,Left-hand bat,Left arm Orthodox,20/01/94,2.0,"592,161,552,433,147,571"
2802,,Syed Shahabuddin,Khatib Syed Shahabuddin,Right-hand bat,Right arm Pace,01/07/79,2.0,"204,571"
2803,PR Shah,Pinal Shah,Pinal Rohitbhai Shah,Right-hand bat,,03/11/87,2.0,"471,403,571,165"
2804,,Jaydev Shah,Jaydev Niranjan Shah,Left-hand bat,Right arm Off spin,04/05/83,2.0,"350,531,571,165,317"
2805,,Salil Oberoi,Salil Oberoi,Right-hand bat,Right arm Pace,07/12/83,2.0,"394,559,416"
2806,,Obaid Ahmed,Obaid Ahmed,Right-hand bat,,02/12/86,2.0,"384,556"
2807,,Sunil Oasis,Sunil Chandrasekharan Oasis,Right-hand bat,Right arm Pace,03/04/73,2.0,"409,361"
2808,,Ritwik Roy Chowdhury,Ritwik Rupnath Roy Chowdhury,Right-hand bat,Right arm Pace,20/11/95,2.0,"454,156,297"
2809,,Nawab of Pataudi,Iftikhar Ali Khan Pataudi (Nawab of),Right-hand bat,,16/03/10,2.0,"444,592,111,146"
2810,,Saurabh Passi,Saurabh Anil Passi,Right-hand bat,Right arm Off spin,06/10/89,2.0,"394,559"
2811,,Kamal Passi,Kamal Passi,Right-hand bat,Right arm Pace,30/11/92,2.0,"403,392"
2812,,Priyanka Roy,Priyanka Roy,Right-hand bat,Right arm wrist spin,02/03/88,2.0,"75,467"
2813,,Ambar Roy,Ambar Khirid Roy,Left-hand bat,Right arm Pace,05/06/45,2.0,"592,454"
2814,Parvez Rasool,Parvez Rasool,Parvez Ghulam Rasool Zargar,Right-hand bat,Right arm Off spin,13/02/89,2.0,"592,433,384,69,143,202"
2815,,Rajiv Seth,Rajiv Seth,Right-hand bat,Right arm Pace,05/11/68,2.0,"454,506"
2816,,Kanishk Seth,Kanishk Kapil Seth,Right-hand bat,Left arm Pace,04/11/97,2.0,"454,118,156,297,470"
2817,,Mylvahanan Senthilnathan,Mylvahanan Senthilnathan,Right-hand bat,,09/03/69,2.0,"257,577"
2818,RG Sharma,Rohit Sharma,Rohit Sharma,Right-hand bat,Right arm Pace,05/09/94,2.0,"384,556"
2819,,Rohit Rayudu,Kolagani Rohit Rayudu,Left-hand bat,Right arm Off spin,29/07/94,2.0,"139,120"
2820,,Manoj Parmar,Manoj Mansinh Parmar,Right-hand bat,,01/03/67,2.0,"198,317"
2821,MB Parmar,Mohnish Parmar,Mohnish Bipinbhai Parmar,Right-hand bat,Right arm Off spin,12/04/88,2.0,"552,403,505"
2822,,Kishan Parmar,Kishan Maheshbhai Parmar,Right-hand bat,Right arm Pace,09/04/92,2.0,"317,284"
2823,,Khokhan Sen,Probir Kumar Sen,Right-hand bat,,31/05/26,2.0,"592,454"
2824,,Shubham Rohilla,Shubham Rohilla,Left-hand bat,Right arm wrist spin,10/03/98,2.0,"501,25"
2825,,Jemimah Rodrigues,Jemimah Ivan Rodrigues,Right-hand bat,Right arm Off spin,05/09/00,2.0,"75,467"
2826,,Ramnath Parkar,Ramnath Dhondu Parkar,Right-hand bat,,31/10/46,2.0,"592,427"
2827,,Rashmi Parida,Rashmi Ranjan Parida,Right-hand bat,Right arm wrist spin,07/07/77,2.0,"553,506,460,315"
2828,,Ananya Sen,Ananya Sen,Right-hand bat,,22/06/87,2.0,"278,559"
2829,V Sehwag,Virender Sehwag,Virender Sehwag,Right-hand bat,Right arm Off spin,20/10/78,2.0,"592,252,394,161,554,147,92,155"
2830,,Yash Sehrawat,Yash Sehrawat,Right-hand bat,Right arm Off spin,03/10/96,2.0,"291,559"
2831,,Ravneet Ricky,Ravneet Singh Ricky,Right-hand bat,,17/10/80,2.0,"403,93"
2832,,Vivek Parasuram,Vivek Parasuram,Right-hand bat,Right arm Off spin,19/01/70,2.0,"430,40"
2833,,Jatin Paranjpe,Jatin Vasudeo Paranjpe,Left-hand bat,Left arm Orthodox,17/04/72,2.0,"592,427"
2834,P Parameswaran,Prasanth Parameswaran,Prasanth Parameswaran,Right-hand bat,Left arm Pace,30/05/85,2.0,"409,299,143,202"
2835,,Santosh Saxena,Santosh Ramesh Saxena,Right-hand bat,Right arm Pace,20/04/76,2.0,"427,415"
2836,,Anup Revandkar,Anup Premamand Revandkar,Right-hand bat,Right arm Off spin,25/11/87,2.0,"403,427,165"
2837,,Reuben Paul,Srinivasan Reuben Paul,Right-hand bat,,04/06/72,2.0,"317,577"
2838,R Parag,Riyan Parag,Riyan Parag,Right-hand bat,Right arm wrist spin,10/11/01,2.0,"553,512,123,165"
2839,,Satyajit Parab,Satyajit Sudhir Parab,Right-hand bat,Right arm wrist spin,01/09/75,2.0,"471,433"
2840,,Vineet Panwar,Vineet Panwar,Right-hand bat,Right arm Pace,28/06/98,2.0,"403,239"
2841,,Jatin Saxena,Jatin Sahay Saxena,Right-hand bat,Right arm wrist spin,04/08/82,2.0,"210,165"
2842,Jalaj S Saxena,Jalaj Saxena,Jalaj Sahai Saxena,Right-hand bat,Right arm Off spin,15/12/86,2.0,"161,433,210,571,143"
2843,,Iresh Saxena,Iresh Saxena,Right-hand bat,Left arm Orthodox,14/03/84,2.0,"454,505"
2844,,Sangram Sawant,Sangram Suresh Sawant,Right-hand bat,Left arm Orthodox,31/08/69,2.0,"553,415"
2845,,Saurabh Singh,Saurabh Singh,Right-hand bat,Right arm Pace,11/10/97,2.0,"297,403"
2846,,Saurabh Kumar,Saurabh Kumar,Left-hand bat,Left arm Orthodox,01/05/93,2.0,"23,239"
2847,,Kaushik Reddy,Paddi Kaushik Reddy,Right-hand bat,Right arm Pace,21/12/84,2.0,"139,522"
2848,,Inder Shekar Reddy,Peddi Inder Shekar Reddy,Right-hand bat,Left arm Orthodox,20/12/80,2.0,"204,139"
2849,,Gautam Reddy,Priyadarshani Gautam Reddy,Right-hand bat,Right arm wrist spin,21/10/85,2.0,"139,120"
2850,PA Reddy,Akshath Reddy,Produturi Akshath Reddy,Right-hand bat,Right arm wrist spin,11/02/91,2.0,"350,139,403,202"
2851,,Harishankar Reddy,Maramreddy Harishankar Reddy,Right-hand bat,Right arm Pace,02/06/98,2.0,"204,413"
2852,RR Pant,Rishabh Pant,Rishabh Rajendra Pant,Left-hand bat,,04/10/97,2.0,"592,394,161,559,433"
2853,Pankaj Singh,Pankaj Singh,Pankaj Singh,Right-hand bat,Right arm Pace,06/05/85,2.0,"592,340,460,165,143"
2854,KH Pandya,Krunal Pandya,Krunal Himanshu Pandya,Left-hand bat,Left arm Orthodox,24/03/91,2.0,"592,85,433,571"
2855,HH Pandya,Hardik Pandya,Hardik Himanshu Pandya,Right-hand bat,Right arm Pace,11/10/93,2.0,"592,471,433,571"
2856,,Amulya Pandrekar,Amulya Govind Pandrekar,Left-hand bat,Left arm Orthodox,31/03/96,2.0,"257,451,244"
2857,,Abhishek Reddy,Abhishek Manik Reddy,Right-hand bat,Right arm Off spin,14/09/94,2.0,"557,430"
2858,,Vivek Razdan,Vivek Razdan,Right-hand bat,Right arm Pace,25/08/69,2.0,"592,394,577"
2859,,Sanjay Pandey,Sanjay Panchanand Pandey,Right-hand bat,Right arm Pace,14/12/76,2.0,"403,210"
2860,R Sathish,Rajagopal Sathish,Rajagopal Sathish,Right-hand bat,Right arm Pace,14/01/81,2.0,"553,147,505,571,577"
2861,,Satyajit Satbhai,Satyajit Ajit Satbhai,Right-hand bat,,24/06/80,2.0,"278,189"
2862,,Raza Ali,Sayed Raza Ali,Left-hand bat,Left arm Orthodox,26/09/81,2.0,"127,415"
2863,P Ray Barman,Prayas Ray Barman,Prayas Ray Barman,Right-hand bat,Right arm wrist spin,25/10/02,2.0,"454,143"
2864,AT Rayudu,Ambati Rayudu,Ambati Thirupathi Rayudu,Right-hand bat,Right arm Off spin,23/09/85,2.0,"592,471,470,139,433,571"
2865,,HD Rawle,Harshad Dinkar Rawle,Right-hand bat,Right arm Off spin,27/07/84,2.0,"427,415"
2866,,Rahul Rawat,Rahul Singh Rawat,Left-hand bat,Right arm Off spin,03/10/96,2.0,"23,390,239"
2867,,Prahlad Rawat,Prahlad Singh Rawat,Left-hand bat,Left arm Pace,14/10/70,2.0,"415,315"
2868,M Rawat,Mahesh Rawat,Mahesh Rawat,Right-hand bat,,25/10/85,2.0,"501,433,69,415,165"
2869,,Shikha Pandey,Shikha Subas Pandey,Right-hand bat,Right arm Pace,12/05/89,2.0,"75,467"
2870,MK Pandey,Manish Pandey,Manish Krishnanand Pandey,Right-hand bat,Right arm Pace,10/09/89,2.0,"592,433,430,505,571,69,143,522,202"
2871,IC Pandey,Ishwar Pandey,Ishwar Chand Pandey,Right-hand bat,Right arm Pace,15/08/89,2.0,"470,433,210,69,370"
2872,,Gyanendra Pandey,Gyanendrakumar Kedarnath Pandey,Left-hand bat,Left arm Orthodox,12/08/72,2.0,"592,23"
2873,,KV Sasikanth,Kodiramakrishna Venkata Sasikanth,Right-hand bat,Right arm Pace,17/07/95,2.0,"204,413"
2874,,Aniruddha Sarwate,Aniruddha Vasant Sarwate,Left-hand bat,Right arm Off spin,17/10/71,2.0,"415,315"
2875,PM Sarvesh Kumar,PM Sarvesh Kumar,PM Sarvesh Kumar,Right-hand bat,Right arm Pace,26/04/89,2.0,"350,139"
2876,,Chandan Rawat,Chandan Rawat,Right-hand bat,Right arm wrist spin,18/12/86,2.0,"553,123"
2877,,Asha Rawat,Asha Rawat,Right-hand bat,Right arm Off spin,16/02/82,2.0,"75,467"
2878,,Ankit Rawat,Ankit Rawat,Right-hand bat,,09/08/86,2.0,"25,403"
2879,,Vaibhav Rawal,Vaibhav Prem Rawal,Left-hand bat,Right arm wrist spin,09/11/91,2.0,"394,505"
2880,DB Ravi Teja,Dwaraka Ravi Teja,Dwaraka Bhamidipati Ravi Teja,Right-hand bat,Right arm wrist spin,05/09/87,2.0,"350,139,433,403,522,202"
2881,,Ravi Kiran,Majeti Ravi Kiran,Right-hand bat,Right arm Pace,01/02/91,2.0,"139,522"
2882,,Arun Pandey,Arun Pandey,Left-hand bat,Left arm Orthodox,09/09/78,2.0,"263,23"
2883,,Chanakya Sarma,Chanakya Dibakar Sarma,Right-hand bat,Right arm Pace,01/07/88,2.0,"553,123"
2884,SS Sarkar,Sourav Sarkar,Sourav Subrata Sarkar,Right-hand bat,Right arm Pace,15/12/84,2.0,"454,156,505"
2885,,Ravi Chauhan,Ravi Chauhan,Right-hand bat,Right arm wrist spin,17/09/93,2.0,"291,40"
2886,,Ravikant Singh,Ravikant Singh,Right-hand bat,Right arm Pace,18/03/94,2.0,"454,403"
2887,,Ravikant Shukla,Ravikant Shukla,Left-hand bat,Right arm Pace,07/07/87,2.0,"403,147,23,390,239"
2888,,Agniv Pan,Agniv Subrata Pan,Left-hand bat,,01/01/97,2.0,"454,156,297"
2889,,Rajat Paliwal,Rajat Suresh Paliwal,Right-hand bat,Right arm Off spin,24/12/91,2.0,"433,40"
2890,,Vasanth Saravanan,Sathiamoorty Vasanth Saravanan,Right-hand bat,Right arm Pace,22/09/78,2.0,"553,257,403,577"
2891,,Sarandeep Singh,Sarandeep Singh,Right-hand bat,Right arm Off spin,21/10/79,2.0,"592,394,161,93"
2892,,Sarabjit Singh,Sarabjit Singh,Right-hand bat,,25/10/74,2.0,"384,40"
2893,,Sarabjit Singh,Sarabjit Singh,Right-hand bat,,18/09/87,2.0,"403,392"
2894,,Kuldeep Raval,Kuldeep Chandrakant Raval,Left-hand bat,Left arm Orthodox,30/11/85,2.0,"161,317,284"
2895,,Punam Raut,Punam Ganesh Raut,Right-hand bat,Right arm Off spin,14/10/89,2.0,"75,467"
2896,AS Raut,Abhishek Raut,Abhishek Santosh Raut,Right-hand bat,Right arm wrist spin,03/03/87,2.0,"189,165"
2897,,Sanjay Raul,Sanjay Susanta Raul,Right-hand bat,Right arm Off spin,06/10/76,2.0,"592,506"
2898,,Ajay Ratra,Ajay Ratra,Right-hand bat,Right arm Pace,13/12/81,2.0,"592,501"
2899,,Vikram Rathour,Vikram Rathour,Right-hand bat,,26/03/69,2.0,"592,127,93"
2900,,Debabrata Pal,Debabrata Gajanan Pal,Right-hand bat,Right arm Off spin,26/04/86,2.0,"156,297,403"
2901,,Amit Pagnis,Amit Anil Pagnis,Left-hand bat,Right arm Pace,18/09/78,2.0,"427,415"
2902,,Sanjib Sanyal,Sanjib Sanyal,Right-hand bat,Right arm Pace,25/07/77,2.0,"454,505,415"
2903,,Sanvir Singh,Sanvir Singh,Right-hand bat,Right arm Pace,12/10/96,2.0,"93,47,392"
2904,,Nikhil Rathod,Nikhil Rajendrakumar Rathod,Right-hand bat,Right arm wrist spin,03/09/84,2.0,"403,317"
2905,D Padikkal,Devdutt Padikkal,Devdutt Padikkal,Left-hand bat,Right arm Off spin,07/07/00,2.0,"403,143"
2906,,Amit Pachhara,Amit Rakesh Pachhara,Right-hand bat,Right arm Off spin,08/09/95,2.0,"40,390,239"
2907,P Awana,Parvinder Awana,Parvinder Awana,Right-hand bat,Right arm Pace,19/07/86,2.0,"592,394,147"
2908,,Prasanjit Das,Prasanjit Das,Right-hand bat,Right arm wrist spin,11/06/87,2.0,"454,415"
2909,,Martin Sanjeev,Kishore Martin Sanjeev,Right-hand bat,Right arm Pace,01/05/88,2.0,"108,245"
2910,,Sanjay Yadav,Ramsingh  Sanjay Yadav,Left-hand bat,Left arm Orthodox,10/05/95,2.0,"505,577"
2911,,Sanjay Pandey,Sanjay Pandey,Right-hand bat,Left arm Orthodox,16/11/79,2.0,"403,23"
2912,,Ratan Singh,Ratan Singh,Left-hand bat,Left arm Orthodox,22/01/66,2.0,"415,460"
2913,Rasikh Salam,Rasikh Salam,Rasikh Salam,Right-hand bat,Right arm Pace,05/04/01,2.0,"384,571"
2914,PJ Sangwan,Pradeep Sangwan,Pradeep Jaibeer Sangwan,Right-hand bat,Left arm Pace,05/11/90,2.0,"394,161,531,505,571"
2915,,Rahul Sanghvi,Rahul Laxman Sanghvi,Left-hand bat,Left arm Orthodox,03/09/74,2.0,"592,394,415"
2916,,Balwinder Sandhu,Balwinder Singh Sandhu,Right-hand bat,Right arm Pace,26/05/87,2.0,"427,77"
2917,S Sandeep Warrier,Sandeep Warrier,Sankarankutty Sandeep Warrier,Right-hand bat,Right arm Pace,04/04/91,2.0,"409,505,143"
2918,,Sandeep Singh,Sandeep Singh,Right-hand bat,,10/10/88,2.0,"501,40"
2919,Sandeep Sharma,Sandeep Sharma,Sandeep Sharma,Right-hand bat,Right arm Pace,18/05/93,2.0,"592,433,403,147,93,392,202"
2920,,Sandeep Sharma,Sandeep Sharma,Right-hand bat,Right arm Pace,14/02/74,2.0,"127,433,93"
2921,,Sandeep Dogra,Sandeep Dogra,Left-hand bat,,22/10/73,2.0,"394,559"
2922,,Ranvirsinhji,Maharaj Shri Ranvirsinhji,Right-hand bat,,07/10/19,2.0,"592,40"
